,PERMNO,TICKER,DLSTCD,bankrupt,date,year,quarter
12150,67847,RGLD,100.0,0,2019-12-31,2019,4
12151,67854,COP,231.0,0,1996-06-28,1996,2
12152,67862,IMB,584.0,0,2008-07-31,2008,3
12153,67870,DSP,233.0,0,1994-07-29,1994,3
12154,67871,RYAL,574.0,1,1988-01-29,1988,1
12155,67889,EOI,300.0,0,1986-12-31,1986,4
12156,67897,FFI,231.0,0,1987-05-29,1987,2
12157,67918,GDV,574.0,1,1990-11-30,1990,4
12158,67926,GOP,200.0,0,1988-06-30,1988,2
12159,67927,HADE,582.0,0,1990-08-31,1990,3
12160,67934,GLL,231.0,0,1988-02-29,1988,1
12161,67935,RPAL,560.0,0,1989-03-31,1989,1
12162,67942,HX,560.0,0,2009-10-30,2009,4
12163,67943,RUMC,561.0,0,1985-05-31,1985,2
12164,67950,HMN,460.0,0,1986-12-31,1986,4
12165,67969,ABC,584.0,0,1992-12-31,1992,4
12166,67970,RULE,233.0,0,1996-01-31,1996,1
12167,67977,ICY,231.0,0,1988-05-31,1988,2
12168,67985,IT,584.0,0,1994-12-30,1994,4
12169,67993,IJL,231.0,0,1999-03-31,1999,1
12170,68005,KC,520.0,0,1988-06-30,1988,2
12171,68006,RSTY,300.0,0,1987-11-30,1987,4
12172,68013,LAC,231.0,0,1994-10-31,1994,4
12173,68021,CMO,100.0,0,2019-12-31,2019,4
12174,68048,CNV,588.0,0,1997-07-31,1997,3
12175,68049,RYAN,233.0,0,2006-11-30,2006,4
12176,68056,MON,574.0,1,1991-06-28,1991,2
12177,68057,RYCO,580.0,0,1986-10-31,1986,4
12178,68064,MIP,233.0,0,1995-10-31,1995,4
12179,68065,SKFB,570.0,0,2005-03-31,2005,1
12180,68072,PLP,231.0,0,1995-07-31,1995,3
12181,68073,SAME,233.0,0,1994-09-30,1994,3
12182,68080,EVI,231.0,0,1993-03-31,1993,1
12183,68099,RA,233.0,0,1987-11-30,1987,4
12184,68101,RCP,233.0,0,1996-07-31,1996,3
12185,68102,HRMN,231.0,0,2000-08-31,2000,3
12186,68128,HEP,231.0,0,1999-06-30,1999,2
12187,68129,SAIG,560.0,0,1990-06-29,1990,2
12188,68136,SWB,231.0,0,1989-10-31,1989,4
12189,68137,SSIX,560.0,0,1989-06-30,1989,2
12190,68144,STI,231.0,0,2019-12-31,2019,4
12191,68145,NEON,100.0,0,2019-12-31,2019,4
12192,68152,TEQ,231.0,0,1988-12-30,1988,4
12193,68160,UXC,231.0,0,1992-05-29,1992,2
12194,68161,SCI,231.0,0,2001-12-31,2001,4
12195,68180,SALC,560.0,0,1986-06-30,1986,2
12196,68187,WRI,100.0,0,2019-12-31,2019,4
12197,68188,SSCB,570.0,0,1985-06-28,1985,2
12198,68195,WIX,200.0,0,1989-04-28,1989,2
12199,68196,SEIC,100.0,0,2019-12-31,2019,4
12200,68208,AOI,584.0,0,1993-11-30,1993,4
12201,68209,SFEM,580.0,0,1991-04-30,1991,2
12202,68216,ADB,231.0,0,1992-05-29,1992,2
12203,68232,TUA,331.0,0,1988-10-31,1988,4
12204,68233,PTG,551.0,0,2009-05-29,2009,2
12205,68240,XNP,341.0,0,1990-09-28,1990,3
12206,68259,XNS,341.0,0,1990-09-28,1990,3
12207,68267,XNU,331.0,0,1990-09-28,1990,3
12208,68275,ANF,234.0,0,1990-03-30,1990,1
12209,68276,PVCT,552.0,0,2016-10-31,2016,4
12210,68283,AUS,233.0,0,1990-05-31,1990,2
12211,68291,BSD,574.0,1,1993-09-30,1993,3
12212,68292,SIGI,100.0,0,2019-12-31,2019,4
12213,68304,BSC,231.0,0,2008-05-30,2008,2
12214,68312,NHP,231.0,0,2011-07-29,2011,3
12215,68313,STVI,233.0,0,2001-08-31,2001,3
12216,68320,CHYR,233.0,0,2015-03-31,2015,1
12217,68321,SPDC,233.0,0,1985-08-30,1985,3
12218,68339,CSV,516.0,0,1990-07-31,1990,3
12219,68340,VRX,231.0,0,2010-09-30,2010,3
12220,68347,CPQ,231.0,0,2002-05-31,2002,2
12221,68355,COV,231.0,0,1997-10-31,1997,4
12222,68363,CBR,551.0,0,1994-09-30,1994,3
12223,68364,CDA,552.0,0,2003-06-30,2003,2
12224,68371,DIN,331.0,0,1988-09-30,1988,3
12225,68398,ECC,233.0,0,2003-10-31,2003,4
12226,68400,EDP,231.0,0,1990-05-31,1990,2
12227,68401,SADL,581.0,0,1997-02-28,1997,1
12228,68419,WTM,100.0,0,2019-12-31,2019,4
12229,68427,IAF,100.0,0,2019-12-31,2019,4
12230,68428,IQ,231.0,0,1996-08-30,1996,3
12231,68435,FCH,574.0,1,1992-02-28,1992,1
12232,68451,GMH,331.0,0,2003-12-31,2003,4
12233,68452,SFGD,561.0,0,1999-09-30,1999,3
12234,68478,RHI,231.0,0,1988-04-29,1988,2
12235,68479,SAFD,581.0,0,1985-06-28,1985,2
12236,68486,HII,574.0,1,1992-10-30,1992,4
12237,68494,ITX,584.0,0,2001-12-31,2001,4
12238,68495,SKK,574.0,1,2001-11-30,2001,4
12239,68507,KPT,233.0,0,1987-10-30,1987,4
12240,68515,NAM,450.0,0,1995-10-31,1995,4
12241,68516,SGAL,300.0,0,1987-12-31,1987,4
12242,68523,CFS,233.0,0,2010-12-31,2010,4
12243,68524,SAGE,560.0,0,1991-07-31,1991,3
12244,68531,MAG,584.0,0,1988-02-29,1988,1
12245,68558,MV,233.0,0,1989-06-30,1989,2
12246,68559,SLAB,233.0,0,1998-06-30,1998,2
12247,68566,MXP,231.0,0,1997-08-29,1997,3
12248,68567,SGM,584.0,0,1999-04-30,1999,2
12249,68574,MFC,231.0,0,1995-01-31,1995,1
12250,68582,MOR,231.0,0,2001-03-30,2001,1
12251,68583,SGOLY,231.0,0,1999-12-31,1999,4
12252,68590,NWE,233.0,0,1989-06-30,1989,2
12253,68591,STJ,241.0,0,2017-01-31,2017,1
12254,68603,TNI,331.0,0,1993-08-31,1993,3
12255,68611,PNS,233.0,0,1991-10-31,1991,4
12256,68638,HOG,584.0,0,1998-05-29,1998,2
12257,68646,PRT,450.0,0,1995-11-30,1995,4
12258,68647,SLCR,231.0,0,1992-05-29,1992,2
12259,68654,PMN,233.0,0,1988-09-30,1988,3
12260,68655,SNCP,233.0,0,1986-12-31,1986,4
12261,68662,LOG,300.0,0,1998-01-30,1998,1
12262,68670,SDY,231.0,0,1996-01-31,1996,1
12263,68689,BUG,233.0,0,1986-12-31,1986,4
12264,68697,SLP,233.0,0,1999-06-30,1999,2
12265,68698,SBAR,231.0,0,1987-09-30,1987,3
12266,68718,TOF,560.0,0,2016-10-31,2016,4
12267,68719,SDBC,560.0,0,1986-06-30,1986,2
12268,68726,IND,233.0,0,2001-05-31,2001,2
12269,68734,VV,574.0,1,1991-07-31,1991,3
12270,68742,TMR,233.0,0,2010-05-28,2010,2
12271,68743,WSDI,552.0,0,2001-01-31,2001,1
12272,68750,BBR,231.0,0,1989-07-31,1989,3
12273,68769,WDG,574.0,1,1992-06-30,1992,2
12274,68785,WNN,574.0,1,1986-10-31,1986,4
12275,68786,SMO,233.0,0,1998-01-30,1998,1
12276,68793,WMI,450.0,0,1991-03-28,1991,1
12277,68806,AFG,233.0,0,1988-04-29,1988,2
12278,68807,SNTE,550.0,0,1985-06-28,1985,2
12279,68814,AGI,560.0,0,2002-07-31,2002,3
12280,68815,STOSY,570.0,0,2009-07-31,2009,3
12281,68822,ACA,233.0,0,1990-10-31,1990,4
12282,68823,SANYY,520.0,0,2006-10-31,2006,4
12283,68830,REX,100.0,0,2019-12-31,2019,4
12284,68831,SARA,550.0,0,1985-08-30,1985,3
12285,68849,TSY,233.0,0,2007-02-28,2007,1
12286,68857,CVC,233.0,0,2016-06-30,2016,2
12287,68865,PCC,233.0,0,1992-07-31,1992,3
12288,68866,SSL,100.0,0,2019-12-31,2019,4
12289,68873,CDS,574.0,1,1988-05-31,1988,2
12290,68874,STEL,560.0,0,1986-05-30,1986,2
12291,68881,CPS,584.0,0,1989-07-31,1989,3
12292,68882,SLNK,561.0,0,1988-01-29,1988,1
12293,68902,DRE,331.0,0,1988-08-31,1988,3
12294,68903,SATI,560.0,0,1991-11-29,1991,4
12295,68910,CGA,233.0,0,1996-06-28,1996,2
12296,68929,ASG,100.0,0,2019-12-31,2019,4
12297,68937,HHH,242.0,0,1991-12-31,1991,4
12298,68938,SFI,233.0,0,1997-12-31,1997,4
12299,68945,HFI,241.0,0,1998-01-30,1998,1
12300,68946,DBCI,560.0,0,1991-05-31,1991,2
12301,68953,BFC,520.0,0,1992-02-28,1992,1
12302,68954,SAVR,560.0,0,1987-01-30,1987,1
12303,68961,ITA,450.0,0,2003-02-28,2003,1
12304,68962,SBPS,231.0,0,1986-06-30,1986,2
12305,68988,KEP,450.0,0,1988-08-31,1988,3
12306,68996,LOG,570.0,0,2002-10-31,2002,4
12307,68997,HWEC,550.0,0,1996-01-31,1996,1
12308,69008,KLY,231.0,0,1995-02-28,1995,1
12309,69016,LSA,231.0,0,1992-06-30,1992,2
12310,69017,SXNP,550.0,0,1986-04-30,1986,2
12311,69024,LT,231.0,0,1989-01-31,1989,1
12312,69032,MS,100.0,0,2019-12-31,2019,4
12313,69033,SOCR,552.0,0,2000-11-30,2000,4
12314,69040,TNI,231.0,0,1996-09-30,1996,3
12315,69041,SCNN,231.0,0,1988-06-30,1988,2
12316,69059,CIV,460.0,0,1994-08-31,1994,3
12317,69060,SCFM,231.0,0,1996-10-31,1996,4
12318,69067,PBS,588.0,0,1997-10-31,1997,4
12319,69075,PR,584.0,0,2006-08-31,2006,3
12320,69076,SHAA,560.0,0,1985-12-31,1985,4
12321,69083,R,200.0,0,1988-06-30,1988,2
12322,69084,GTSW,560.0,0,1995-12-29,1995,4
12323,69091,SJG,233.0,0,1988-01-29,1988,1
12324,69092,WINE,560.0,0,1985-04-30,1985,2
12325,69104,SAM,233.0,0,1994-12-30,1994,4
12326,69105,SKYS,231.0,0,1985-01-31,1985,1
12327,69112,SFP,233.0,0,1993-09-30,1993,3
12328,69120,SBN,233.0,0,1990-11-30,1990,4
12329,69121,SCHC,234.0,0,1989-10-31,1989,4
12330,69139,UMG,241.0,0,1992-10-30,1992,4
12331,69147,VHT,584.0,0,1996-10-31,1996,4
12332,69155,ZENL,231.0,0,1994-12-30,1994,4
12333,69156,SCHL,261.0,0,1987-07-31,1987,3
12334,69163,ACV,331.0,0,2003-11-28,2003,4
12335,69171,RPL,584.0,0,1998-12-31,1998,4
12336,69198,ACN,233.0,0,1988-02-29,1988,1
12337,69199,SHLM,261.0,0,2018-08-31,2018,3
12338,69200,AMK,233.0,0,2007-09-28,2007,3
12339,69201,SWAR,552.0,0,1992-07-31,1992,3
12340,69219,ATL,233.0,0,2003-07-31,2003,3
12341,69220,SMLS,231.0,0,1995-02-28,1995,1
12342,69227,BTH,233.0,0,1987-02-27,1987,1
12343,69235,CN,331.0,0,1993-03-31,1993,1
12344,69243,CX,231.0,0,1997-11-28,1997,4
12345,69244,SIDY,584.0,0,2001-08-31,2001,3
12346,69251,CEF,231.0,0,2018-01-31,2018,1
12347,69278,DLP,331.0,0,1987-03-31,1987,1
12348,69279,SCIE,233.0,0,1989-02-28,1989,1
12349,69286,CDV,231.0,0,1995-06-30,1995,2
12350,69287,TRTI,552.0,0,1993-11-30,1993,4
12351,69294,CDV,231.0,0,1995-06-30,1995,2
12352,69295,SCND,580.0,0,1991-10-31,1991,4
12353,69307,LLB,241.0,0,2002-08-30,2002,3
12354,69308,CNDI,560.0,0,1985-11-29,1985,4
12355,69315,DEG,584.0,0,1989-08-31,1989,3
12356,69316,SMSI,560.0,0,1988-09-30,1988,3
12357,69323,DIC,233.0,0,1988-04-29,1988,2
12358,69324,SCRD,560.0,0,1989-11-30,1989,4
12359,69331,ECF,100.0,0,2019-12-31,2019,4
12360,69332,SSFT,580.0,0,1995-07-31,1995,3
12361,69358,ESC,233.0,0,1992-03-31,1992,1
12362,69359,SSSV,233.0,0,1988-02-29,1988,1
12363,69366,FAX,100.0,0,2019-12-31,2019,4
12364,69374,FCC,584.0,0,1997-11-28,1997,4
12365,69382,FF,585.0,0,2010-05-28,2010,2
12366,69383,SCPS,560.0,0,1986-09-30,1986,3
12367,69390,FRN,505.0,0,1989-12-29,1989,4
12368,69391,SCPE,231.0,0,1986-07-31,1986,3
12369,69403,PLP,231.0,0,2004-10-29,2004,4
12370,69411,GOT,560.0,0,2008-10-31,2008,4
12371,69438,GLP,520.0,0,1991-08-30,1991,3
12372,69439,JSCC,233.0,0,1988-04-29,1988,2
12373,69446,VGZ,100.0,0,2019-12-31,2019,4
12374,69447,VCSI,233.0,0,1999-06-30,1999,2
12375,69454,GUM,231.0,0,1988-06-30,1988,2
12376,69455,SSTI,560.0,0,1985-09-30,1985,3
12377,69462,HAM,584.0,0,1995-03-31,1995,1
12378,69470,HMA,300.0,0,1988-09-30,1988,3
12379,69471,SGD,584.0,0,1999-11-30,1999,4
12380,69489,HSN,231.0,0,1996-12-31,1996,4
12381,69497,LJC,231.0,0,1990-08-31,1990,3
12382,69518,LNV,232.0,0,2005-06-30,2005,2
12383,69519,SCRP,231.0,0,1994-09-30,1994,3
12384,69526,NOW,570.0,0,2003-05-30,2003,2
12385,69534,NUT,520.0,0,2008-11-28,2008,4
12386,69542,MDKI,231.0,0,2005-09-30,2005,3
12387,69543,SEAG,560.0,0,1991-01-31,1991,1
12388,69550,MYL,100.0,0,2019-12-31,2019,4
12389,69569,NVR,242.0,0,1993-09-30,1993,3
12390,69585,NGC,231.0,0,1998-10-30,1998,4
12391,69586,SBCF,100.0,0,2019-12-31,2019,4
12392,69593,NWS,331.0,0,2004-11-30,2004,4
12393,69606,NHY,520.0,0,2007-11-30,2007,4
12394,69607,SEG,241.0,0,2000-11-30,2000,4
12395,69614,NM,231.0,0,1988-06-30,1988,2
12396,69622,POW,233.0,0,1989-11-30,1989,4
12397,69623,SEAK,561.0,0,1992-06-30,1992,2
12398,69630,PKC,233.0,0,1989-06-30,1989,2
12399,69631,SEALA,560.0,0,1987-12-31,1987,4
